# Temperatura_=_46.34
# Concentracion g/m^3_=_20000.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_301783.74690892384

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-7.972023e-06	-4.510826e-08	-5.751688e+01	-2.957025e+03
1.000000e-08	-7.968400e-06	-4.509257e-08	-5.749074e+01	-2.956169e+03
2.000000e-08	-7.962200e-06	-4.506938e-08	-5.744601e+01	-2.955106e+03
3.000000e-08	-7.953441e-06	-4.504160e-08	-5.738282e+01	-2.953707e+03
4.000000e-08	-7.941884e-06	-4.500934e-08	-5.729944e+01	-2.951876e+03
5.000000e-08	-7.927319e-06	-4.497397e-08	-5.719435e+01	-2.949613e+03
6.000000e-08	-7.909856e-06	-4.492917e-08	-5.706835e+01	-2.947002e+03
7.000000e-08	-7.889987e-06	-4.486775e-08	-5.692500e+01	-2.944148e+03
8.000000e-08	-7.867707e-06	-4.484735e-08	-5.676425e+01	-2.941108e+03
9.000000e-08	-7.842395e-06	-4.486568e-08	-5.658164e+01	-2.937870e+03
1.000000e-07	-7.813853e-06	-4.480203e-08	-5.637571e+01	-2.934358e+03
1.100000e-07	-7.782396e-06	-4.470781e-08	-5.614875e+01	-2.930490e+03
1.200000e-07	-7.748095e-06	-4.463926e-08	-5.590127e+01	-2.926220e+03
1.300000e-07	-7.711214e-06	-4.456119e-08	-5.563519e+01	-2.921580e+03
1.400000e-07	-7.672266e-06	-4.443732e-08	-5.535418e+01	-2.916681e+03
1.500000e-07	-7.631064e-06	-4.436223e-08	-5.505691e+01	-2.911683e+03
1.600000e-07	-7.587026e-06	-4.432353e-08	-5.473919e+01	-2.906724e+03
1.700000e-07	-7.540265e-06	-4.416708e-08	-5.440181e+01	-2.901829e+03
1.800000e-07	-7.490846e-06	-4.414612e-08	-5.404527e+01	-2.896865e+03
1.900000e-07	-7.438321e-06	-4.405841e-08	-5.366631e+01	-2.891564e+03
2.000000e-07	-7.382866e-06	-4.388583e-08	-5.326621e+01	-2.885638e+03
2.100000e-07	-7.324703e-06	-4.380244e-08	-5.284657e+01	-2.878922e+03
2.200000e-07	-7.263945e-06	-4.365313e-08	-5.240821e+01	-2.871451e+03
2.300000e-07	-7.200672e-06	-4.357738e-08	-5.195171e+01	-2.863420e+03
2.400000e-07	-7.134622e-06	-4.344864e-08	-5.147516e+01	-2.855035e+03
2.500000e-07	-7.065932e-06	-4.329401e-08	-5.097958e+01	-2.846350e+03
