# 260604_11:26:22.990610
t	CH1	CH2
0.000000e+00	-1.119052e-02	5.673708e-01
1.000000e-08	-1.014661e-02	3.147142e-01
2.000000e-08	-8.166718e-03	4.945124e-02
3.000000e-08	-2.019201e-03	-2.636819e-01
4.000000e-08	4.652460e-03	-4.857397e-01
5.000000e-08	-2.988281e-03	-8.009425e-01
6.000000e-08	2.057321e-03	-1.083183e+00
7.000000e-08	-1.665053e-03	-1.346914e+00
8.000000e-08	9.014909e-04	-1.620574e+00
9.000000e-08	8.796763e-03	-1.841632e+00
1.000000e-07	5.527948e-02	-2.023053e+00
1.100000e-07	1.259665e-01	-2.379519e+00
1.200000e-07	-3.231424e-02	-2.778520e+00
1.300000e-07	-1.336607e-02	-3.137949e+00
1.400000e-07	-3.718136e-02	-3.421075e+00
1.500000e-07	-3.714621e-02	-3.618548e+00
1.600000e-07	-9.456372e-02	-3.842678e+00
1.700000e-07	1.250006e-01	-4.013125e+00
1.800000e-07	-2.776410e-02	-4.251657e+00
1.900000e-07	-2.143780e-02	-4.538472e+00
2.000000e-07	1.669089e-01	-4.798471e+00
2.100000e-07	-1.525211e-01	-5.138893e+00
2.200000e-07	1.293507e-01	-5.411055e+00
2.300000e-07	-8.972121e-02	-5.695261e+00
2.400000e-07	6.238562e-03	-5.959521e+00
2.500000e-07	1.144546e-01	-6.180475e+00
2.600000e-07	-8.570703e-02	-6.485716e+00
2.700000e-07	1.348656e-01	-6.746541e+00
2.800000e-07	-9.251692e-02	-7.022552e+00
2.900000e-07	6.061666e-02	-7.323869e+00
3.000000e-07	7.407012e-03	-7.498917e+00
3.100000e-07	-2.295929e-02	-7.891156e+00
3.200000e-07	1.150272e-01	-8.074634e+00
3.300000e-07	-7.595505e-02	-8.295941e+00
3.400000e-07	1.285301e-01	-8.557990e+00
3.500000e-07	-5.814568e-02	-8.840552e+00
3.600000e-07	3.462852e-02	-9.061132e+00
3.700000e-07	1.340341e-02	-9.223675e+00
3.800000e-07	5.928338e-03	-9.505285e+00
3.900000e-07	8.460493e-02	-9.706840e+00
4.000000e-07	-3.441338e-02	-9.906389e+00
4.100000e-07	9.367362e-02	-1.007747e+01
4.200000e-07	-4.057957e-02	-1.037902e+01
4.300000e-07	8.677626e-02	-1.055952e+01
4.400000e-07	-1.692523e-02	-1.073850e+01
4.500000e-07	5.106995e-02	-1.091594e+01
4.600000e-07	1.768177e-02	-1.114554e+01
4.700000e-07	3.340833e-02	-1.135055e+01
4.800000e-07	4.603438e-02	-1.154794e+01
4.900000e-07	8.571306e-03	-1.174855e+01
5.000000e-07	5.947876e-02	-1.196839e+01
5.100000e-07	1.452499e-02	-1.214847e+01
5.200000e-07	7.451843e-02	-1.232377e+01
5.300000e-07	8.089147e-03	-1.245428e+01
5.400000e-07	5.567961e-02	-1.259221e+01
5.500000e-07	1.741210e-02	-1.278113e+01
5.600000e-07	6.020571e-02	-1.294802e+01
5.700000e-07	3.457852e-02	-1.310336e+01
5.800000e-07	5.264290e-02	-1.324423e+01
5.900000e-07	4.708496e-02	-1.334055e+01
6.000000e-07	5.206726e-02	-1.351729e+01
6.100000e-07	5.421579e-02	-1.365223e+01
6.200000e-07	4.067058e-02	-1.376155e+01
6.300000e-07	5.429173e-02	-1.388487e+01
6.400000e-07	4.913061e-02	-1.403373e+01
6.500000e-07	6.920574e-02	-1.414799e+01
6.600000e-07	5.445715e-02	-1.424281e+01
6.700000e-07	6.514277e-02	-1.431797e+01
6.800000e-07	5.668753e-02	-1.446381e+01
6.900000e-07	7.341722e-02	-1.456847e+01
7.000000e-07	6.674424e-02	-1.463223e+01
7.100000e-07	7.370974e-02	-1.469634e+01
7.200000e-07	6.909264e-02	-1.475897e+01
7.300000e-07	7.845124e-02	-1.483328e+01
7.400000e-07	7.860936e-02	-1.489788e+01
7.500000e-07	7.782608e-02	-1.495847e+01
7.600000e-07	8.128979e-02	-1.500060e+01
7.700000e-07	8.714029e-02	-1.506523e+01
7.800000e-07	9.697830e-02	-1.506476e+01
7.900000e-07	9.368993e-02	-1.510692e+01
8.000000e-07	9.687211e-02	-1.516800e+01
8.100000e-07	9.651622e-02	-1.520960e+01
8.200000e-07	1.079508e-01	-1.519155e+01
8.300000e-07	1.096854e-01	-1.523165e+01
8.400000e-07	1.146176e-01	-1.520173e+01
8.500000e-07	1.162072e-01	-1.524276e+01
8.600000e-07	1.257972e-01	-1.522223e+01
8.700000e-07	1.314559e-01	-1.521160e+01
8.800000e-07	1.347897e-01	-1.522163e+01
8.900000e-07	1.415799e-01	-1.516960e+01
9.000000e-07	1.528039e-01	-1.513800e+01
9.100000e-07	1.682573e-01	-1.515744e+01
9.200000e-07	1.815807e-01	-1.508636e+01
9.300000e-07	1.967395e-01	-1.503184e+01
9.400000e-07	2.186641e-01	-1.499966e+01
9.500000e-07	2.455437e-01	-1.494697e+01
9.600000e-07	2.499992e-01	-1.491591e+01
9.700000e-07	2.500000e-01	-1.484175e+01
9.800000e-07	2.500000e-01	-1.478007e+01
9.900000e-07	2.500000e-01	-1.472539e+01
1.000000e-06	2.500000e-01	-1.464168e+01
1.010000e-06	2.500000e-01	-1.447800e+01
1.020000e-06	2.468074e-01	-1.448371e+01
1.030000e-06	2.209969e-01	-1.434704e+01
1.040000e-06	1.977896e-01	-1.430179e+01
1.050000e-06	1.741652e-01	-1.413795e+01
1.060000e-06	1.531585e-01	-1.404220e+01
1.070000e-06	1.362320e-01	-1.393542e+01
1.080000e-06	1.240268e-01	-1.381208e+01
1.090000e-06	1.131514e-01	-1.367426e+01
1.100000e-06	1.026900e-01	-1.354849e+01
1.110000e-06	9.226228e-02	-1.337058e+01
1.120000e-06	8.589651e-02	-1.326226e+01
1.130000e-06	8.041723e-02	-1.307794e+01
1.140000e-06	7.316568e-02	-1.299853e+01
1.150000e-06	6.696295e-02	-1.285266e+01
1.160000e-06	6.250235e-02	-1.270279e+01
1.170000e-06	5.916569e-02	-1.251584e+01
1.180000e-06	5.512586e-02	-1.233844e+01
1.190000e-06	5.133663e-02	-1.220860e+01
1.200000e-06	4.709753e-02	-1.198115e+01
1.210000e-06	4.457808e-02	-1.177173e+01
1.220000e-06	4.261717e-02	-1.160018e+01
1.230000e-06	3.938644e-02	-1.141153e+01
1.240000e-06	3.612081e-02	-1.118957e+01
1.250000e-06	3.525228e-02	-1.100905e+01
1.260000e-06	3.403253e-02	-1.080000e+01
1.270000e-06	3.236582e-02	-1.063008e+01
1.280000e-06	2.745215e-02	-1.039968e+01
1.290000e-06	2.681156e-02	-1.021910e+01
1.300000e-06	2.586949e-02	-9.988925e+00
1.310000e-06	2.624762e-02	-9.788472e+00
1.320000e-06	2.343530e-02	-9.548947e+00
1.330000e-06	2.035701e-02	-9.386345e+00
1.340000e-06	1.989728e-02	-9.094262e+00
1.350000e-06	2.028602e-02	-8.913265e+00
1.360000e-06	1.813106e-02	-8.612179e+00
1.370000e-06	1.533118e-02	-8.389975e+00
1.380000e-06	1.383383e-02	-8.158523e+00
1.390000e-06	1.430888e-02	-7.916894e+00
1.400000e-06	1.417889e-02	-7.672760e+00
1.410000e-06	1.182451e-02	-7.408577e+00
1.420000e-06	1.002168e-02	-7.156922e+00
1.430000e-06	1.033571e-02	-6.863311e+00
1.440000e-06	1.023942e-02	-6.620056e+00
1.450000e-06	8.497965e-03	-6.431550e+00
1.460000e-06	6.265400e-03	-6.145841e+00
1.470000e-06	4.879829e-03	-5.862188e+00
1.480000e-06	4.555040e-03	-5.630650e+00
1.490000e-06	5.158182e-03	-5.334317e+00
1.500000e-06	3.717396e-03	-5.032129e+00
1.510000e-06	2.256053e-03	-4.743359e+00
1.520000e-06	3.427622e-03	-4.482208e+00
1.530000e-06	3.928104e-03	-4.212078e+00
1.540000e-06	2.554527e-03	-3.948947e+00
1.550000e-06	-1.006887e-03	-3.673152e+00
1.560000e-06	-1.653241e-03	-3.410975e+00
1.570000e-06	-2.631113e-03	-3.126318e+00
1.580000e-06	-1.599617e-03	-2.831128e+00
1.590000e-06	-3.389279e-03	-2.578895e+00
1.600000e-06	-2.566663e-03	-2.264165e+00
1.610000e-06	-3.136086e-03	-2.010999e+00
1.620000e-06	-2.563000e-03	-1.727914e+00
1.630000e-06	-4.647172e-03	-1.441661e+00
1.640000e-06	-6.181728e-03	-1.125892e+00
1.650000e-06	-7.356150e-03	-8.705502e-01
1.660000e-06	-6.147035e-03	-5.483494e-01
1.670000e-06	-6.579277e-03	-2.741355e-01
1.680000e-06	-5.053115e-03	-2.909751e-02
1.690000e-06	6.148014e-03	2.646820e-01
1.700000e-06	8.035204e-04	5.269460e-01
1.710000e-06	3.629373e-03	7.599186e-01
1.720000e-06	1.057160e-03	1.022186e+00
1.730000e-06	-1.682783e-04	1.387338e+00
1.740000e-06	-1.701133e-03	1.653183e+00
1.750000e-06	6.613219e-03	1.905761e+00
1.760000e-06	3.164509e-02	2.126264e+00
1.770000e-06	1.033349e-01	2.369097e+00
