# 260604_11:26:37.023024
t	CH1	CH2
0.000000e+00	-1.073154e-02	5.990009e-01
1.000000e-08	-1.158147e-02	2.753629e-01
2.000000e-08	-8.837456e-03	-1.791983e-02
3.000000e-08	-2.392000e-03	-2.926318e-01
4.000000e-08	5.721370e-03	-5.262347e-01
5.000000e-08	-3.845944e-03	-7.694239e-01
6.000000e-08	2.597550e-03	-1.051130e+00
7.000000e-08	-3.003138e-03	-1.376668e+00
8.000000e-08	2.542501e-03	-1.641054e+00
9.000000e-08	8.120566e-03	-1.863104e+00
1.000000e-07	5.837454e-02	-2.071533e+00
1.100000e-07	1.360035e-01	-2.438420e+00
1.200000e-07	-5.266479e-02	-2.808994e+00
1.300000e-07	-2.880977e-03	-3.158892e+00
1.400000e-07	-4.750638e-02	-3.421978e+00
1.500000e-07	-3.318796e-02	-3.610524e+00
1.600000e-07	-1.142994e-01	-3.880633e+00
1.700000e-07	1.591327e-01	-4.050577e+00
1.800000e-07	-5.502249e-02	-4.283132e+00
1.900000e-07	-1.102206e-02	-4.598318e+00
2.000000e-07	1.812437e-01	-4.811474e+00
2.100000e-07	-1.980991e-01	-5.197319e+00
2.200000e-07	1.768206e-01	-5.482103e+00
2.300000e-07	-1.347580e-01	-5.753212e+00
2.400000e-07	3.165899e-02	-6.018426e+00
2.500000e-07	1.128292e-01	-6.217928e+00
2.600000e-07	-1.050089e-01	-6.572765e+00
2.700000e-07	1.644719e-01	-6.787946e+00
2.800000e-07	-1.310980e-01	-7.060558e+00
2.900000e-07	8.883598e-02	-7.385866e+00
3.000000e-07	-1.470482e-02	-7.556920e+00
3.100000e-07	-1.699374e-02	-7.914986e+00
3.200000e-07	1.234262e-01	-8.134739e+00
3.300000e-07	-1.020711e-01	-8.376319e+00
3.400000e-07	1.526408e-01	-8.627951e+00
3.500000e-07	-9.217144e-02	-8.832051e+00
3.600000e-07	5.692715e-02	-9.102659e+00
3.700000e-07	-2.824130e-03	-9.233136e+00
3.800000e-07	1.625131e-02	-9.543766e+00
3.900000e-07	8.303569e-02	-9.754889e+00
4.000000e-07	-4.397336e-02	-9.976268e+00
4.100000e-07	1.014114e-01	-1.022833e+01
4.200000e-07	-6.209810e-02	-1.043842e+01
4.300000e-07	1.015982e-01	-1.063052e+01
4.400000e-07	-3.769306e-02	-1.082850e+01
4.500000e-07	6.727692e-02	-1.103147e+01
4.600000e-07	3.562194e-03	-1.118745e+01
4.700000e-07	4.129011e-02	-1.148060e+01
4.800000e-07	3.622762e-02	-1.166900e+01
