# Temperatura_=_43.83
# Concentracion g/m^3_=_48100.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_301747.08926177054

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-7.984394e-06	-4.608612e-08	-5.752966e+01	-3.022169e+03
1.000000e-08	-7.980143e-06	-4.606926e-08	-5.749903e+01	-3.021395e+03
2.000000e-08	-7.973430e-06	-4.604445e-08	-5.745066e+01	-3.020266e+03
3.000000e-08	-7.964100e-06	-4.601448e-08	-5.738344e+01	-3.018663e+03
4.000000e-08	-7.951905e-06	-4.597871e-08	-5.729557e+01	-3.016593e+03
5.000000e-08	-7.936713e-06	-4.594291e-08	-5.718611e+01	-3.014200e+03
6.000000e-08	-7.918741e-06	-4.590277e-08	-5.705662e+01	-3.011660e+03
7.000000e-08	-7.898453e-06	-4.585144e-08	-5.691044e+01	-3.009042e+03
8.000000e-08	-7.875643e-06	-4.586389e-08	-5.674608e+01	-3.006246e+03
9.000000e-08	-7.849656e-06	-4.587287e-08	-5.655884e+01	-3.003058e+03
1.000000e-07	-7.820472e-06	-4.577478e-08	-5.634856e+01	-2.999286e+03
1.100000e-07	-7.788463e-06	-4.567218e-08	-5.611793e+01	-2.994887e+03
1.200000e-07	-7.753619e-06	-4.560483e-08	-5.586687e+01	-2.990002e+03
1.300000e-07	-7.716223e-06	-4.552225e-08	-5.559742e+01	-2.984884e+03
1.400000e-07	-7.676740e-06	-4.537508e-08	-5.531293e+01	-2.979781e+03
1.500000e-07	-7.634877e-06	-4.532687e-08	-5.501130e+01	-2.974823e+03
1.600000e-07	-7.590160e-06	-4.528553e-08	-5.468910e+01	-2.969982e+03
1.700000e-07	-7.542830e-06	-4.513296e-08	-5.434808e+01	-2.965083e+03
1.800000e-07	-7.492712e-06	-4.512420e-08	-5.398697e+01	-2.959871e+03
1.900000e-07	-7.439433e-06	-4.500060e-08	-5.360307e+01	-2.954082e+03
2.000000e-07	-7.383363e-06	-4.483842e-08	-5.319907e+01	-2.947535e+03
2.100000e-07	-7.324589e-06	-4.473787e-08	-5.277559e+01	-2.940194e+03
2.200000e-07	-7.263221e-06	-4.458499e-08	-5.233342e+01	-2.932182e+03
2.300000e-07	-7.199323e-06	-4.450922e-08	-5.187302e+01	-2.923726e+03
2.400000e-07	-7.132652e-06	-4.434068e-08	-5.139264e+01	-2.915023e+03
2.500000e-07	-7.063368e-06	-4.420625e-08	-5.089342e+01	-2.906120e+03
2.600000e-07	-6.991505e-06	-4.407045e-08	-5.037564e+01	-2.896862e+03
2.700000e-07	-6.916873e-06	-4.391258e-08	-4.983789e+01	-2.886981e+03
2.800000e-07	-6.839487e-06	-4.374532e-08	-4.928030e+01	-2.876261e+03
2.900000e-07	-6.759390e-06	-4.353792e-08	-4.870319e+01	-2.864695e+03
3.000000e-07	-6.676811e-06	-4.339275e-08	-4.810818e+01	-2.852498e+03
3.100000e-07	-6.592072e-06	-4.319792e-08	-4.749762e+01	-2.839977e+03
3.200000e-07	-6.505189e-06	-4.302131e-08	-4.687160e+01	-2.827331e+03
3.300000e-07	-6.415970e-06	-4.281127e-08	-4.622875e+01	-2.814517e+03
3.400000e-07	-6.324380e-06	-4.257884e-08	-4.556882e+01	-2.801286e+03
3.500000e-07	-6.230562e-06	-4.237861e-08	-4.489284e+01	-2.787355e+03
3.600000e-07	-6.134513e-06	-4.215909e-08	-4.420078e+01	-2.772589e+03
3.700000e-07	-6.036087e-06	-4.192737e-08	-4.349160e+01	-2.757060e+03
3.800000e-07	-5.935435e-06	-4.167006e-08	-4.276637e+01	-2.740947e+03
3.900000e-07	-5.832736e-06	-4.143517e-08	-4.202640e+01	-2.724368e+03
4.000000e-07	-5.727971e-06	-4.117786e-08	-4.127154e+01	-2.707276e+03
4.100000e-07	-5.621099e-06	-4.089981e-08	-4.050150e+01	-2.689509e+03
4.200000e-07	-5.512176e-06	-4.060266e-08	-3.971668e+01	-2.670943e+03
4.300000e-07	-5.401301e-06	-4.030385e-08	-3.891779e+01	-2.651606e+03
4.400000e-07	-5.288377e-06	-4.001513e-08	-3.810415e+01	-2.631655e+03
4.500000e-07	-5.173323e-06	-3.970867e-08	-3.727515e+01	-2.611222e+03
4.600000e-07	-5.056218e-06	-3.938122e-08	-3.643138e+01	-2.590255e+03
4.700000e-07	-4.937268e-06	-3.903446e-08	-3.557432e+01	-2.568505e+03
4.800000e-07	-4.816581e-06	-3.868986e-08	-3.470474e+01	-2.545676e+03
4.900000e-07	-4.694171e-06	-3.833307e-08	-3.382274e+01	-2.521646e+03
